Date,Open,High,Low,Close,Volume
4/27/2017,83.11,83.77,80.51,80.61,14000
4/28/2017,80.9,80.9,79.31,80,312000
5/2/2017,80,80.98,80,80.98,"7,500"
5/4/2017,80.98,82,80.98,80.98,"3,500"
5/5/2017,82,83.5,80.75,81.55,"576,000"
5/8/2017,81.45,82,81,81.63,"47,500"
5/9/2017,82,82,80.5,80.5,"41,000"
5/10/2017,80,80.5,80,80.5,"5,000"
5/11/2017,80.5,80.51,80,80.5,"39,000"
5/12/2017,79.1,81.94,79.03,80.3,"27,500"
5/15/2017,82,82.01,80,80.45,"103,000"
5/16/2017,81.45,81.45,79.05,80,"22,000"
5/17/2017,78.5,79.8,78.1,79.25,"1,577,000"
5/19/2017,77.08,79.1,77.08,78.12,"200,500"
5/22/2017,77.11,78.8,77.11,78.5,"13,500"
5/23/2017,79.9,80.5,78.75,80.17,"201,000"
5/24/2017,82,82.2,80.9,81.75,"54,500"
5/25/2017,80.06,85.83,80.06,84.66,"8,000"
5/26/2017,85,86,82.61,85.02,"35,500"
5/29/2017,82,85.5,82,85.25,"19,500"
5/30/2017,82.25,84,82.25,83.23,"14,500"
5/31/2017,83.3,83.3,83,83,"72,500"
6/1/2017,81,81,79.01,80.02,"948,500"
6/2/2017,80,82,80,81.02,"746,500"
6/5/2017,82.75,83,81.75,81.75,"30,000"
6/6/2017,83,84.75,82.99,84.66,"23,500"
6/7/2017,84.65,85,84.65,85,"223,500"
6/8/2017,85,85.5,84,84.45,"56,000"
6/9/2017,84.45,84.45,84,84,"242,500"
6/12/2017,81.2,84,81.2,83.74,"34,500"
6/13/2017,84,84,83.2,84,"259,000"
6/14/2017,83.05,83.05,83,83,"1,500"
6/15/2017,82.71,83,81.01,82.61,"893,500"
6/16/2017,82.5,82.75,82.5,82.75,"355,000"
6/19/2017,82,82,80,80.38,"85,000"
6/20/2017,80,80,78.5,78.54,"89,000"
6/21/2017,79,80.99,75,80,"536,500"
6/22/2017,80,84,80,82.9,"25,000"
6/29/2017,82.25,82.25,78.76,78.87,"726,500"
6/30/2017,79,79,78.99,79,"52,000"
7/3/2017,78.5,78.5,75.05,75.05,"351,500"
7/4/2017,76.95,77,76,77,"61,500"
7/5/2017,78,78,77,77,"5,500"
7/6/2017,77.5,77.5,76.1,77,"33,000"
7/7/2017,77,77.5,77,77.5,"31,000"
7/10/2017,76.05,81.37,76.05,79.79,"45,500"
7/11/2017,76.01,79,75.81,75.81,"369,500"
7/12/2017,74.5,74.5,72.05,72.51,"1,210,000"
7/13/2017,72,74.95,72,72.51,"11,000"
7/14/2017,73.01,73.01,71.8,72.97,"25,000"
7/18/2017,74.99,76.5,73.1,74.58,"40,000"
7/19/2017,75.21,76.01,75.21,76,"32,000"
7/20/2017,79,79,75,75.01,"65,000"
7/21/2017,74,74,73,74,"50,500"
7/24/2017,74.95,75.01,74.95,75,"35,500"
7/25/2017,77,78.75,74.98,76.28,"51,500"
7/26/2017,75.02,77.75,75,75.88,"39,500"
7/27/2017,75.06,76,75.05,76,"10,000"
7/28/2017,72.8,78.9,72.78,78.09,"35,000"
7/31/2017,78.3,80.5,78.25,80.31,"183,000"
8/1/2017,80.31,81,80,80.01,"41,000"
8/2/2017,80.01,80.01,78,78.27,"78,000"
8/3/2017,78.26,78.26,78.26,78.26,500
8/4/2017,76.65,82.17,76.55,79.32,"47,000"
8/7/2017,83.28,83.28,79.16,79.49,"14,500"
8/8/2017,79,79.01,79,79.01,"3,000"
8/9/2017,76.7,78.99,76.62,78.99,"26,000"
8/10/2017,79.59,80.51,79.59,80.51,"74,500"
8/11/2017,80.5,80.5,80,80.5,"53,000"
8/15/2017,80.5,80.5,78.89,78.89,"8,000"
8/16/2017,78,78.9,77.7,78.58,"54,500"
8/17/2017,76.55,76.55,74,75.44,"168,500"
8/18/2017,72.55,75,72.51,74.46,"85,000"
8/21/2017,73,75,70.74,72,"1,831,000"
