Date,Open,High,Low,Close,Volume
7-Feb-17,807.98,810.99,781,789.57,"228,900"
8-Feb-17,791,807.7,785,787.41,"201,150"
9-Feb-17,792,795,785.01,786.12,"92,050"
10-Feb-17,790,824,785.01,808.6,"335,750"
13-Feb-17,814.98,827,792,795.97,"229,800"
14-Feb-17,797.99,803.9,789.1,790.94,"81,800"
15-Feb-17,792.1,795.25,785.01,785.78,"58,550"
16-Feb-17,785.1,819,785.1,813.77,"409,650"
17-Feb-17,819.99,819.99,801,806.62,"92,150"
20-Feb-17,805,818,798,805.31,"128,200"
21-Feb-17,807.01,811.4,796,802.38,"163,450"
22-Feb-17,800.07,803,784,789.97,"63,750"
23-Feb-17,786,795,770.02,787.2,"65,400"
24-Feb-17,799.9,805,783.8,785.53,"186,650"
27-Feb-17,784.05,795,780,782.92,"56,450"
28-Feb-17,783.07,783.5,765,774.44,"52,050"
1-Mar-17,778,810.99,777,809.85,"200,950"
2-Mar-17,815,820,800,807.8,"144,250"
3-Mar-17,805,821,799,802.35,"116,650"
6-Mar-17,803,805,792.5,794.13,"71,600"
7-Mar-17,791,794.9,786,787.33,"26,350"
8-Mar-17,791.49,809.99,790.16,798.63,"69,050"
9-Mar-17,805,805,788.85,790.61,"31,650"
10-Mar-17,794,805,786,800.83,"42,450"
13-Mar-17,803,803,787.02,789.11,"15,550"
14-Mar-17,781,789.99,775.5,781.79,"39,500"
15-Mar-17,783,793,781.5,784,"47,300"
16-Mar-17,776,784.5,773,780.94,"17,150"
17-Mar-17,778,790,778,785.62,"28,300"
20-Mar-17,776.1,789.45,776.1,783.49,"19,950"
21-Mar-17,783,787.3,778,780.32,"36,550"
22-Mar-17,782,784,775,778.08,"22,800"
24-Mar-17,780,787,775,784.3,"26,950"
27-Mar-17,790,799,781.2,786.12,"72,050"
28-Mar-17,785,788,781,785.72,"17,300"
29-Mar-17,784,791,756.1,768.75,"45,450"
30-Mar-17,765.35,765.35,746.5,749.13,"112,950"
31-Mar-17,753.5,755.99,740,751.92,"142,000"
3-Apr-17,763,789.51,760,780.31,"283,150"
4-Apr-17,783,789,775.15,779.24,"303,000"
5-Apr-17,779,784.9,776,780.06,"88,100"
6-Apr-17,777.1,780,770,776.47,"35,650"
7-Apr-17,775.15,780,775,777.68,"25,450"
10-Apr-17,775,777.51,774.5,776.89,"13,700"
11-Apr-17,776,786,776,782.83,"167,200"
12-Apr-17,787,789,784.05,787.15,"44,300"
13-Apr-17,788.9,794,782.05,782.77,"33,900"
14-Apr-17,782.77,784,775,777.17,"13,750"
17-Apr-17,781.9,782,773,774.84,"15,350"
18-Apr-17,777.5,797.95,777.5,793.98,"127,400"
19-Apr-17,761,833.67,761,825.83,"286,100"
20-Apr-17,823.5,867.12,810,831,"274,150"
21-Apr-17,838.01,865,837,859.77,"275,000"
24-Apr-17,870,902.75,870,896.17,"294,200"
25-Apr-17,899,927.99,898,910.87,"191,750"
26-Apr-17,910,931,899,919.29,"202,450"
27-Apr-17,921,925.01,905,909.94,"47,400"
28-Apr-17,905.1,925,905,922.74,"47,700"
2-May-17,925,925,911.02,915.33,"72,250"
3-May-17,915,922,905,908.59,"39,600"
4-May-17,901,926,898.63,918.06,"118,050"
5-May-17,923,923.9,910,916.45,"46,600"
8-May-17,915,924.99,914,916.42,"26,550"
9-May-17,914.25,921.99,913.5,914.42,"32,750"
10-May-17,915,916.5,910,913.66,"15,500"
11-May-17,917.43,917.5,908,910.49,"51,250"
12-May-17,901,907,896.83,901.96,"78,150"
15-May-17,900.25,906,890,891.05,"38,200"
16-May-17,905,909,891,892.13,"58,700"
17-May-17,896.49,908,893,898.51,"45,350"
18-May-17,899,904.98,893.01,893.94,"22,400"
19-May-17,894,895.79,890.1,893.74,"18,750"
22-May-17,898.5,913.69,895.85,904.33,"31,550"
23-May-17,903.01,910,900,902.65,"40,000"
24-May-17,908,908,893.01,895.86,"54,050"
25-May-17,896,897,882.5,883.36,"46,850"
26-May-17,880.01,890,876,887.68,"28,400"
29-May-17,888.1,907,885,894.22,"37,450"
30-May-17,894.95,904,876,881.95,"15,500"
31-May-17,877,883,851.5,865.32,"82,900"
1-Jun-17,860.01,890.36,822.06,835.75,"181,300"
2-Jun-17,830,859.99,802,834.13,"18,300"
5-Jun-17,849.9,875.83,849.9,875.83,"119,400"
6-Jun-17,880,895,871.05,885.76,"13,100"
7-Jun-17,886,890,880,888.51,"16,400"
8-Jun-17,890,899,890,892.12,"22,150"
9-Jun-17,895.7,895.7,890,892.33,"30,750"
12-Jun-17,897.8,897.8,864,875.83,"57,600"
13-Jun-17,870,887,855,878.47,"71,700"
